d,date,wm_yr_wk,weekday,wday,month,year,d,snap_CA,snap_TX,snap_WI
d_1,2011-01-29,11101,Saturday,1,1,2011,d_1,0,0,0
d_2,2011-01-30,11101,Sunday,2,1,2011,d_2,0,0,0
d_3,2011-01-31,11101,Monday,3,1,2011,d_3,0,0,0
d_4,2011-02-01,11101,Tuesday,4,2,2011,d_4,1,1,0
d_5,2011-02-02,11101,Wednesday,5,2,2011,d_5,1,0,1
d_6,2011-02-03,11101,Thursday,6,2,2011,d_6,1,1,1
d_7,2011-02-04,11101,Friday,7,2,2011,d_7,1,0,0
d_8,2011-02-05,11102,Saturday,1,2,2011,d_8,1,1,1
d_9,2011-02-06,11102,Sunday,2,2,2011,d_9,1,1,1
d_10,2011-02-07,11102,Monday,3,2,2011,d_10,1,1,0
d_11,2011-02-08,11102,Tuesday,4,2,2011,d_11,1,0,1
d_12,2011-02-09,11102,Wednesday,5,2,2011,d_12,1,1,1
d_13,2011-02-10,11102,Thursday,6,2,2011,d_13,1,0,0
d_14,2011-02-11,11102,Friday,7,2,2011,d_14,0,1,1
d_15,2011-02-12,11103,Saturday,1,2,2011,d_15,0,1,1
d_16,2011-02-13,11103,Sunday,2,2,2011,d_16,0,1,0
d_17,2011-02-14,11103,Monday,3,2,2011,d_17,0,0,1
d_18,2011-02-15,11103,Tuesday,4,2,2011,d_18,0,1,1
d_19,2011-02-16,11103,Wednesday,5,2,2011,d_19,0,0,0
d_20,2011-02-17,11103,Thursday,6,2,2011,d_20,0,0,0
d_21,2011-02-18,11103,Friday,7,2,2011,d_21,0,0,0
d_22,2011-02-19,11104,Saturday,1,2,2011,d_22,0,0,0
d_23,2011-02-20,11104,Sunday,2,2,2011,d_23,0,0,0
d_24,2011-02-21,11104,Monday,3,2,2011,d_24,0,0,0
d_25,2011-02-22,11104,Tuesday,4,2,2011,d_25,0,0,0
d_26,2011-02-23,11104,Wednesday,5,2,2011,d_26,0,0,0
d_27,2011-02-24,11104,Thursday,6,2,2011,d_27,0,0,0
